ID2,Task 1 Time,Task 2 Time,Task 1 Errors,Task 2 Errors,Task 1 Rating,Task 2 Rating
14523574,51.17,26.18,0,0,4,1
14791270,76,35,1,0,6,1
15389959,58,36,2,3,5,2
15400710,60,44,0,0,6,3
15111928,76,40,1,0,5,3
11829636,58.8,29.76,1,0,6,1
12111840,96,34,6,0,6,1
13265343,65,32,5,0,4,1
14150760,78.39,38.56,5,3,7,3
15211586,64,26,3,1,5,2
14398618,74.03,40.94,4,0,4,1
13384553,57.38,31.1,0,3,5,2
13096252,55.59,31.33,4,2,5,2
15726789,47.14,28.5,2,0,6,1
15450877,75,39,2,0,3,1
12904255,82.8,50.6,6,2,7,1
13345995,66,50,0,1,5,4
11209003,47.73,28.17,1,0,3,1
14655706,64,27,2,0,5,1
15026596,79,41,0,0,1,1
13401066,70,36,0,0,2,1
12773280,57.49,38.51,0,0,5,2
14542970,58.81,42.19,2,1,3,2
90,90,32,3,2,4,2
9064874,48.93,30.86,0,1,6,2
14317472,90,32,3,2,4,2
14825486,43,111,0,3,1,3
14825486,32,24,0,1,2,2
14296516,49.68,3,18.91,1,4,5
,80,30,5,2,5,1
